都道府県,地域名,0_常住地による人口（夜間人口）,001_従業も通学もしていない,002_自市区町村で従業・通学,0021_自宅で従業,0022_自宅外の自市区町村で従業・通学,003_他市区町村で従業・通学,0031_自市内他区で従業・通学,0032_県内他市町村で従業・通学,0033_他県で従業・通学,0034_従業・通学市区町村「不詳・外国」,004_従業地・通学地「不詳」,0R1_（再掲）流出人口,1_従業地・通学地による人口（昼間人口）,101_うち他市区町村に常住,1011_自市内他区に常住,1012_県内他市町村に常住,1013_他県に常住,102_うち従業地・通学地「不詳」又は従業・通学市区町村「不詳・外国」で当地に常住している者,1R1_（再掲）流入人口,
北海道,下川町,3126,1244,1598,344,1254,207,0,200,1,6,77,201,3231,306,0,304,2,83,306,103.35893
北海道,美深町,4145,1600,2268,491,1777,248,0,244,0,4,29,244,4248,347,0,347,0,33,347,102.48492
北海道,音威子府村,706,203,461,69,392,18,0,17,0,1,24,17,756,67,0,65,2,25,67,107.08215
北海道,中川町,1528,553,888,156,732,46,0,46,0,0,41,46,1583,101,0,98,3,41,101,103.59948
北海道,幌加内町,1370,474,827,226,601,63,0,62,0,1,6,62,1452,144,0,144,0,7,144,105.9854
北海道,増毛町,3908,1628,1746,353,1393,494,0,480,3,11,40,483,3653,228,0,228,0,51,228,93.47492
北海道,小平町,2994,1125,1505,399,1106,347,0,343,4,0,17,347,2912,265,0,265,0,17,265,97.26119
北海道,苫前町,2936,1107,1566,389,1177,228,0,219,3,6,35,222,2965,251,0,250,1,41,251,100.98774
北海道,羽幌町,6548,2622,3615,678,2937,300,0,293,1,6,11,294,6510,256,0,254,2,17,256,99.41967
北海道,初山別村,1080,408,595,173,422,77,0,77,0,0,0,77,1070,67,0,67,0,0,67,99.07407
北海道,遠別町,2520,892,1499,302,1197,110,0,107,0,3,19,107,2509,96,0,96,0,22,96,99.56349
北海道,天塩町,2950,993,1790,390,1400,134,0,131,1,2,33,132,3052,234,0,234,0,35,234,103.45763
北海道,猿払村,2611,748,1749,364,1385,86,0,85,0,1,28,85,2663,137,0,136,1,29,137,101.99157
北海道,浜頓別町,3448,1277,1964,264,1700,138,0,135,0,3,69,135,3557,244,0,242,2,72,244,103.16125
北海道,中頓別町,1637,635,874,158,716,119,0,115,0,4,9,115,1590,68,0,67,1,13,68,97.12889
北海道,枝幸町,7565,2634,4754,1056,3698,151,0,146,0,5,26,146,7516,97,0,97,0,31,97,99.35228
北海道,豊富町,3974,1284,2331,540,1791,225,0,219,3,3,134,222,3994,242,0,236,6,137,242,100.50327
北海道,礼文町,2509,653,1847,563,1284,1,0,1,0,0,8,1,2564,56,0,45,11,8,56,102.19211
